arabic,arabic_romanization,hebrew,hebrew_romanization,layers
آب,ʔāb,אב,áv,shared_borrowing_source
آتى,ʔātā,נאות,na'ót,direct_cognate_he→ar
آذار,ʔāḏār,אדר,adár,shared_borrowing_source
آس,ʔās,הדס,haḏás,direct_cognate_he→ar
آشور,ʔāšūr,אשור,ashúr,shared_borrowing_source
آمن,ʔāmana,האמין,he'emín,direct_cognate_ar→he;direct_cognate_he→ar
آن,ʔān,אנה,'ána,direct_cognate_ar→he
آه,ʔāhi,אהה,ăhā́h,direct_cognate_he→ar
آية,ʔāya,אות,ot,direct_cognate_ar→he;direct_cognate_he→ar;shared_proto_semitic_root
أب,ʔab,אב,áv,direct_cognate_ar→he;direct_cognate_he→ar;shared_proto_semitic_root
أب,ʔab,אביב,avív,direct_cognate_he→ar
أبار,ʔabbār,אבר,'éver,direct_cognate_ar→he
أباسخيرون,ʔabāsḵīrūn,אבא,ába,shared_borrowing_source
أبجد,ʔabjad,אבגדי,avgadí,direct_cognate_he→ar
أبريل,ʔabrīl,אסתר,estér,shared_borrowing_source
أبريل,ʔabrīl,אפריל,apríl,shared_borrowing_source
أبق,ʔabaqa,נאבק,ne'evák,direct_cognate_he→ar
أبنوس,ʔabnūs,הבנה,havaná,shared_borrowing_source
أبهل,ʔabhal,ברוש,brósh,shared_borrowing_source
أبى,ʔabā,אבה,avá,direct_cognate_he→ar;shared_proto_semitic_root
أتان,ʔatān,אתון,atón,direct_cognate_ar→he;direct_cognate_he→ar;shared_proto_semitic_root
أتقن,ʔatqana,תיקן,tikén,direct_cognate_ar→he
أتوبوس,ʔotobūs,אוטובוס,ótobus,direct_cognate_he→ar
أتوبيس,ʔotobīs,אוטובוס,ótobus,shared_borrowing_source
أثر,ʔaṯṯara,אשר,ashér,direct_cognate_ar→he;direct_cognate_he→ar;shared_proto_semitic_root
أثل,ʔaṯl,אשל,éshel,direct_cognate_ar→he
أجر,ʔajara,אגר,agár,direct_cognate_ar→he
أجمة,ʔajama,אגם,agám,direct_cognate_ar→he;direct_cognate_he→ar;shared_borrowing_source
أحاديث,ʔaḥādīṯ,חדשות,khadashót,direct_cognate_he→ar
أحد,ʔaḥad,אחד,ekhád,direct_cognate_ar→he
أحيا,ʔaḥyā,החיה,hekheyá,direct_cognate_ar→he
أخ,ʔaḵ,אח,ákh,shared_proto_semitic_root
أخ,ʔaḵ,אחי,akhí,direct_cognate_he→ar
أخت,ʔuḵt,אחות,akhót,direct_cognate_he→ar;shared_proto_semitic_root
أخذ,ʔaḵaḏa,אחז,akház,direct_cognate_ar→he;direct_cognate_he→ar
أخر,ʔaḵḵara,אחר,achár,direct_cognate_ar→he
أخوة,ʔuḵuwwa,אחווה,akhavá,direct_cognate_he→ar
أدرك,ʔadraka,דרך,dérekh,direct_cognate_he→ar
أذكر,ʔaḏkara,הזכיר,hizkír,direct_cognate_ar→he
أذن,ʔuḏun,אוזן,ózen,direct_cognate_ar→he;shared_proto_semitic_root
أربعة,ʔarbaʕa,ארבע,arbá',shared_proto_semitic_root
أربعة,ʔarbaʕa,ארבעה,arba'á,shared_proto_semitic_root
أرثوذكس,ʔurṯūḏuks,אורתודוקסי,ortodóksi,shared_borrowing_source
أرخبيل,ʔarḵabīl,ארכיפלג,arkhipélag,shared_borrowing_source
أرز,ʔarz,ארז,érez,direct_cognate_ar→he;direct_cognate_he→ar
أرسطاطاليس,ʔarisṭāṭālīs,אריסטו,arísto,shared_borrowing_source
أرسطو,ʔarisṭū,אריסטו,arísto,shared_borrowing_source
أرسطوطاليس,ʔarisṭūṭālīs,אריסטו,arísto,shared_borrowing_source
أرض,ʔarḍ,ארץ,érets,direct_cognate_ar→he;shared_proto_semitic_root
أرم,ʔaram,ארם,arám,direct_cognate_ar→he
أرملة,ʔarmala,אלמנה,almaná,direct_cognate_he→ar
أرنب,ʔarnab,ארנב,arnáv,direct_cognate_ar→he;direct_cognate_he→ar;shared_proto_semitic_root
أرنب,ʔarnab,ארנבת,arnévet,direct_cognate_he→ar;shared_proto_semitic_root
أرى,ʔarā,הראה,her'á,direct_cognate_ar→he
أزر,ʔazara,עזר,'azár,direct_cognate_ar→he
أزعر,ʔazʕar,זעיר,za'ir,direct_cognate_he→ar
أس,ʔuss,יסוד,yesód,direct_cognate_ar→he
أس,ʔuss,שת,shat,direct_cognate_ar→he
أسر,ʔasara,אסר,asár,direct_cognate_he→ar;shared_proto_semitic_root
أسطوري,ʔusṭūriyy,היסטוריה,história,shared_borrowing_source
أسقى,ʔasqā,השקה,hishká,direct_cognate_ar→he;direct_cognate_he→ar
أسير,ʔasīr,אסיר,asír,shared_proto_semitic_root
أصر,ʔaṣarra,אצר,atsár,direct_cognate_he→ar
أصلح,ʔaṣlaḥa,הצליח,hitslíakh,direct_cognate_ar→he
أصهب,ʔaṣhab,צהב,tsahóv,direct_cognate_ar→he
أصيص,ʔaṣīṣ,עציץ,atsíts,direct_cognate_ar→he
أصيل,ʔaṣīl,אציל,atsíl,direct_cognate_ar→he;direct_cognate_he→ar
أطر,ʔaṭara,אטר,atár,direct_cognate_he→ar
أعور,ʔaʕwar,עיוור,ivér,direct_cognate_ar→he
أغسطس,ʔaḡusṭus,אוגוסט,ogúst,shared_borrowing_source
أغوى,ʔaḡwā,עוה,ʿiva,direct_cognate_he→ar
أفعى,ʔafʕan,אפעה,ef'é,direct_cognate_he→ar;shared_proto_semitic_root
أقام,ʔaqāma,הקים,hekím,direct_cognate_ar→he
أكار,ʔakkār,איכר,ikár,direct_cognate_ar→he;shared_borrowing_source
أكاف,ʔukkāf,אכף,ukáf,direct_cognate_ar→he
أكل,ʔakala,אוכל,ókhel,direct_cognate_he→ar
